Departamento,Provincia,Municipio,Localidad
Chuquisaca,Nor Cinti,Villa Charcas,Pucara de Llujllaya
Chuquisaca,Nor Cinti,Villa Charcas,Mollini
Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano (Pescado)
Chuquisaca,Belisario Boeto,Villa Serrano,Mendoza
Chuquisaca,Belisario Boeto,Villa Serrano,Piedra Grande
Chuquisaca,Belisario Boeto,Villa Serrano,Urriolagoitia
Chuquisaca,Belisario Boeto,Villa Serrano,La Quebrada
Chuquisaca,Belisario Boeto,Villa Serrano,Pampas del Tigre
Chuquisaca,Belisario Boeto,Villa Serrano,Nuevo Mundo (BB)
Chuquisaca,Belisario Boeto,Villa Serrano,Lampasillos
Chuquisaca,Belisario Boeto,Villa Serrano,Pozos
Chuquisaca,Belisario Boeto,Villa Serrano,Monte Grande
Chuquisaca,Belisario Boeto,Villa Serrano,Yunguillas
Chuquisaca,Belisario Boeto,Villa Serrano,Lampazos
Chuquisaca,Belisario Boeto,Villa Serrano,Sipotendi
Chuquisaca,Sud Cinti,Villa Abecia,Camataqui (Villa Abecia)
Chuquisaca,Sud Cinti,Villa Abecia,Jailia
Chuquisaca,Sud Cinti,Villa Abecia,Tarcana
Chuquisaca,Sud Cinti,Villa Abecia,Higuerayoc
Chuquisaca,Sud Cinti,Villa Abecia,Colpanayoc
Chuquisaca,Sud Cinti,Villa Abecia,Achuma
Chuquisaca,Sud Cinti,Culpina,Culpina
Chuquisaca,Sud Cinti,Culpina,Tojlasa
Chuquisaca,Sud Cinti,Culpina,Sajlina
Chuquisaca,Sud Cinti,Culpina,Salitre
Chuquisaca,Sud Cinti,Culpina,La Cienega
Chuquisaca,Sud Cinti,Culpina,La Cueva
Chuquisaca,Sud Cinti,Culpina,El Monte
Chuquisaca,Sud Cinti,Culpina,La Loma
Chuquisaca,Sud Cinti,Culpina,San Francisco
Chuquisaca,Sud Cinti,Culpina,El Palmar
Chuquisaca,Sud Cinti,Culpina,Puca Pampa
Chuquisaca,Sud Cinti,Culpina,El Campamento
Chuquisaca,Sud Cinti,Culpina,Carapari (Pilaya)
Chuquisaca,Sud Cinti,Culpina,Puma Ckasa
Chuquisaca,Sud Cinti,Culpina,Sumaya
Chuquisaca,Sud Cinti,Culpina,Huajlita
Chuquisaca,Sud Cinti,Culpina,El Manzanal
Chuquisaca,Sud Cinti,Culpina,Ca�on Verde
Chuquisaca,Sud Cinti,Culpina,Puca Laja
Chuquisaca,Sud Cinti,Las Carreras,Las Carreras
Chuquisaca,Sud Cinti,Las Carreras,San Juan
Chuquisaca,Sud Cinti,Las Carreras,Santa Rosa (SC)
Chuquisaca,Sud Cinti,Las Carreras,Socpora
Chuquisaca,Sud Cinti,Las Carreras,Impora
Chuquisaca,Sud Cinti,Las Carreras,La Torre (SC)
Chuquisaca,Sud Cinti,Las Carreras,Lime
Chuquisaca,Sud Cinti,Las Carreras,Taraya
Chuquisaca,Sud Cinti,Las Carreras,Monte Sandoval
Chuquisaca,Sud Cinti,Las Carreras,Monte Taraya
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Muyupampa
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Iguembe
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Tentayapi
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Sapiranguimiri
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Ticucha
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Cumandaiti
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,La Tapera
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Aguairenda
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Ity
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Itau
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Taperillas
Chuquisaca,Luis Calvo,Villa Vaca Guzm�n,Karatindi
Chuquisaca,Luis Calvo,Huacaya,Huacaya
Chuquisaca,Luis Calvo,Huacaya,Boycobo
Chuquisaca,Luis Calvo,Huacaya,Santa Rosa
Chuquisaca,Luis Calvo,Huacaya,Chimbe
Chuquisaca,Luis Calvo,Huacaya,Bororigua
Chuquisaca,Luis Calvo,Huacaya,Ankaguazu
Chuquisaca,Luis Calvo,Huacaya,Camatindi
Chuquisaca,Luis Calvo,Macharet�,Machareti
Chuquisaca,Luis Calvo,Macharet�,Estacion Machareti
Chuquisaca,Luis Calvo,Macharet�,Carandayt�
Chuquisaca,Luis Calvo,Macharet�,Vinal El Salvador
Chuquisaca,Luis Calvo,Macharet�,Tiguipa Estacion
Chuquisaca,Luis Calvo,Macharet�,Ipati
Chuquisaca,Luis Calvo,Macharet�,Ivo
Chuquisaca,Luis Calvo,Macharet�,�ancorainza
Chuquisaca,Luis Calvo,Macharet�,Tiguipa Pueblo
Chuquisaca,Luis Calvo,Macharet�,Simbolar
Chuquisaca,Luis Calvo,Macharet�,Timboycito
Chuquisaca,Luis Calvo,Macharet�,Tentami
Chuquisaca,Luis Calvo,Macharet�,Isipotindi
Chuquisaca,Luis Calvo,Macharet�,La Victoria
Chuquisaca,Luis Calvo,Macharet�,Cuatro Vientos
La Paz,Murillo,Nuestra Se�ora de La Paz,Nuestra Se�ora de La Paz
Chuquisaca,Azurduy,Azurduy,Antonio Lopez(Wancarani)
Chuquisaca,Azurduy,Azurduy,Pinos
Chuquisaca,Azurduy,Azurduy,Rodeo Chico
Chuquisaca,Azurduy,Azurduy,Tablani
Chuquisaca,Azurduy,Azurduy,Duraznal
Chuquisaca,Azurduy,Azurduy,San Roque
Chuquisaca,Azurduy,Azurduy,Collpamayu
Chuquisaca,Azurduy,Azurduy,Quehue�al
Chuquisaca,Azurduy,Tarvita,Tarvita
Chuquisaca,Azurduy,Tarvita,Molleni
Chuquisaca,Azurduy,Tarvita,San Pedro
Chuquisaca,Azurduy,Tarvita,Mariscal Braun
Chuquisaca,Azurduy,Tarvita,Cruz Ckasa
Chuquisaca,Azurduy,Tarvita,Pampa Huasi
Chuquisaca,Azurduy,Tarvita,Chunca Cancha
Chuquisaca,Azurduy,Tarvita,Molle Cancha
Chuquisaca,Azurduy,Tarvita,San Jose de Alisos
Chuquisaca,Azurduy,Tarvita,Pampas de Leque
Chuquisaca,Azurduy,Tarvita,Villa Pampa
Chuquisaca,Zuda�ez,Zuda�ez,Zuda�ez
Chuquisaca,Zuda�ez,Zuda�ez,Capilla Llave
Chuquisaca,Zuda�ez,Zuda�ez,Mandinga
Chuquisaca,Zuda�ez,Zuda�ez,Sayan Chaca
Chuquisaca,Zuda�ez,Zuda�ez,Huaca Huasi
Chuquisaca,Zuda�ez,Presto,Presto
Chuquisaca,Zuda�ez,Presto,Pasopaya
Chuquisaca,Zuda�ez,Presto,Rodeo El Palmar
Chuquisaca,Zuda�ez,Presto,El Peral
Chuquisaca,Zuda�ez,Presto,Puno Khasa
Chuquisaca,Zuda�ez,Mojocoya,Mojocoya
Chuquisaca,Zuda�ez,Mojocoya,Redencion Pampa
Chuquisaca,Zuda�ez,Mojocoya,La Abra
Chuquisaca,Zuda�ez,Mojocoya,Churicana (M)
Chuquisaca,Zuda�ez,Mojocoya,Yacambe
Chuquisaca,Zuda�ez,Mojocoya,Quivale
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Icla
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Rodeo
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Pedro Jose Silvetti(Jatun Mayu)
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Uyuni
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Santa Lucia
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Cantar Gallo
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Thaco Pampa
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,La Candelaria
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Sumala
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,San Jacinto
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Chunca Cancha Baja
Chuquisaca,Zuda�ez,Villa Ricardo Mugia - Icla,Soroma
Chuquisaca,Tomina,Padilla,Padilla
Chuquisaca,Tomina,Padilla,El Rosal
Chuquisaca,Tomina,Padilla,Tihumayu
Chuquisaca,Tomina,Padilla,Tabacal
Chuquisaca,Tomina,Padilla,Lampacillos
Chuquisaca,Tomina,Padilla,Thola Kasa
Chuquisaca,Tomina,Padilla,Llantoj
Chuquisaca,Tomina,Padilla,Pili Pili Bajo
Chuquisaca,Tomina,Padilla,Corey
Chuquisaca,Tomina,Tomina,Tomina
Chuquisaca,Tomina,Tomina,Tarabuquillo
Chuquisaca,Tomina,Tomina,Rodeo Porvenir
Chuquisaca,Tomina,Tomina,Thuru Mayu
Chuquisaca,Tomina,Tomina,Fuerte Rua
Chuquisaca,Tomina,Tomina,Pucara
Chuquisaca,Tomina,Tomina,Kawasiri
Chuquisaca,Tomina,Tomina,Villa Flores
Chuquisaca,Tomina,Tomina,Arquillos
Chuquisaca,Tomina,Tomina,Kuri
Chuquisaca,Tomina,Sopachui,Sopachuy
Chuquisaca,Tomina,Sopachui,Amancaya
Chuquisaca,Tomina,Sopachui,Pampas del Carmen
Chuquisaca,Tomina,Sopachui,Sipicani
Chuquisaca,Tomina,Sopachui,Milanes
Chuquisaca,Tomina,Sopachui,San Juan de Horcas
Chuquisaca,Tomina,Sopachui,Pampas Punta
Chuquisaca,Tomina,Sopachui,Mama Huasi
Chuquisaca,Tomina,Sopachui,Paslapaya
Chuquisaca,Tomina,Sopachui,Chavarria
Chuquisaca,Tomina,Alcal�,Alcala
Chuquisaca,Tomina,Alcal�,Limabamba
Chuquisaca,Tomina,El Villar,El Villar
Chuquisaca,Tomina,El Villar,Juana A. de Padilla (Segura)
Chuquisaca,Tomina,El Villar,San Blas
Chuquisaca,Tomina,El Villar,El Dorado
Chuquisaca,Tomina,El Villar,Barbechos
Chuquisaca,Tomina,El Villar,Kharachimayu
Chuquisaca,Hernando Siles,Monteagudo,Monteagudo
Chuquisaca,Hernando Siles,Monteagudo,Bartolo
Chuquisaca,Hernando Siles,Monteagudo,Comunidad Heredia
Chuquisaca,Hernando Siles,Monteagudo,Piraimiri
Chuquisaca,Hernando Siles,Monteagudo,Candua
Chuquisaca,Hernando Siles,Monteagudo,Pedernal
Chuquisaca,Hernando Siles,Monteagudo,San Juan del Pirai
Chuquisaca,Hernando Siles,Monteagudo,Fernandez
Chuquisaca,Hernando Siles,Monteagudo,Chapimayu
Chuquisaca,Hernando Siles,Monteagudo,Despensas
Chuquisaca,Hernando Siles,Monteagudo,Yanayana
Chuquisaca,Hernando Siles,Monteagudo,San Miguel
Chuquisaca,Hernando Siles,Monteagudo,Zapallar
Chuquisaca,Hernando Siles,Monteagudo,San Lorenzo
Chuquisaca,Hernando Siles,Monteagudo,San Pedro del Parapet�
Chuquisaca,Hernando Siles,Monteagudo,Valle Nuevo
Chuquisaca,Hernando Siles,Monteagudo,Roldana
Chuquisaca,Hernando Siles,Monteagudo,Azero Norte
Chuquisaca,Hernando Siles,Monteagudo,Los Arcos
Chuquisaca,Hernando Siles,Monteagudo,Ingavi
Chuquisaca,Hernando Siles,Monteagudo,�aurenda
Chuquisaca,Hernando Siles,Huacareta,San Pablo de Huacareta
Chuquisaca,Hernando Siles,Huacareta,�acamiri
Chuquisaca,Hernando Siles,Huacareta,Piraicito
Chuquisaca,Hernando Siles,Huacareta,A�imbo
Chuquisaca,Hernando Siles,Huacareta,Rosario del Ingre
Chuquisaca,Hernando Siles,Huacareta,Uruguay
Chuquisaca,Hernando Siles,Huacareta,San Jorge de Ipaty
Chuquisaca,Hernando Siles,Huacareta,Atirimbia
Chuquisaca,Hernando Siles,Huacareta,Huirasai
Chuquisaca,Yamparaez,Tarabuco,Tarabuco
Chuquisaca,Yamparaez,Tarabuco,Cororo
Chuquisaca,Yamparaez,Tarabuco,Morado Ckasa
Chuquisaca,Yamparaez,Tarabuco,Sarufaya
Chuquisaca,Yamparaez,Tarabuco,Pajcha
Chuquisaca,Yamparaez,Tarabuco,La Cienega (Y)
Chuquisaca,Yamparaez,Tarabuco,Pampa Lupiara
Chuquisaca,Yamparaez,Tarabuco,Rinc�n Lupiara
Chuquisaca,Yamparaez,Tarabuco,San Jos� del Paredon
Chuquisaca,Yamparaez,Tarabuco,Surima Grande
Chuquisaca,Yamparaez,Tarabuco,Collacamani
Chuquisaca,Yamparaez,Tarabuco,Tunas Chillca
Chuquisaca,Yamparaez,Tarabuco,El Carmen
Chuquisaca,Yamparaez,Tarabuco,Cayambuco
Chuquisaca,Yamparaez,Tarabuco,San Antonio de Toca
Chuquisaca,Yamparaez,Yampar�ez,Sotomayor
Chuquisaca,Yamparaez,Yampar�ez,Yamparaez
Chuquisaca,Yamparaez,Yampar�ez,Huasa Cancha
Chuquisaca,Yamparaez,Yampar�ez,Escana
Chuquisaca,Yamparaez,Yampar�ez,Pulqui Avaroa
Chuquisaca,Yamparaez,Yampar�ez,Jatun Khakha
Chuquisaca,Yamparaez,Yampar�ez,Carama
Chuquisaca,Yamparaez,Yampar�ez,Sajpaya
Chuquisaca,Yamparaez,Yampar�ez,Pata LLajta
Chuquisaca,Nor Cinti,Camargo,Camargo
Chuquisaca,Nor Cinti,Camargo,Tacaquira
Chuquisaca,Nor Cinti,Camargo,Muyuquiri
Chuquisaca,Nor Cinti,Camargo,Suquistaca
Chuquisaca,Nor Cinti,Camargo,R�o Chico
Chuquisaca,Nor Cinti,Camargo,Palca Grande
Chuquisaca,Nor Cinti,Camargo,Higuera Huayco
Chuquisaca,Nor Cinti,Camargo,Yurac Caballo
Chuquisaca,Nor Cinti,Camargo,Lintaca
Chuquisaca,Nor Cinti,Camargo,La Quemada
Chuquisaca,Nor Cinti,Camargo,Carpachacra
Chuquisaca,Nor Cinti,Camargo,El Churo
Chuquisaca,Nor Cinti,Camargo,Huaca Cancha
Chuquisaca,Nor Cinti,Camargo,Cueva Pampa
Chuquisaca,Nor Cinti,Camargo,Jatun Quinray
Chuquisaca,Nor Cinti,Camargo,Quirucillani
Chuquisaca,Nor Cinti,San Lucas,Acchilla
Chuquisaca,Nor Cinti,San Lucas,San Lucas
Chuquisaca,Nor Cinti,San Lucas,Padcoyo
Chuquisaca,Nor Cinti,San Lucas,Chi�imayu
Chuquisaca,Oropeza,Sucre,Ckochis
Chuquisaca,Oropeza,Sucre,Falafaya
Chuquisaca,Oropeza,Sucre,Cantu Molino
Chuquisaca,Oropeza,Sucre,Llinfi
Chuquisaca,Oropeza,Sucre,Soico
Chuquisaca,Oropeza,Sucre,La Barranca
Chuquisaca,Oropeza,Sucre,Alto Khora Khora
Chuquisaca,Oropeza,Sucre,San Juan de Cachimayu
Chuquisaca,Oropeza,Sucre,Kuchu Tambo
Chuquisaca,Oropeza,Yotala,Yotala
Chuquisaca,Oropeza,Yotala,Huayllas
Chuquisaca,Oropeza,Yotala,Tipaka
Chuquisaca,Oropeza,Yotala,Pulqui
Chuquisaca,Oropeza,Yotala,Tuero
Chuquisaca,Oropeza,Yotala,Anfaya
Chuquisaca,Oropeza,Yotala,Tasa Pampa
Chuquisaca,Oropeza,Yotala,Tambo Ackachila
Chuquisaca,Oropeza,Yotala,�ujchu
Chuquisaca,Oropeza,Yotala,Cachi Mayu
Chuquisaca,Oropeza,Yotala,Campanario
Chuquisaca,Oropeza,Yotala,Mosoj Llajta
Chuquisaca,Oropeza,Yotala,Tipoyo
Chuquisaca,Oropeza,Poroma,Poroma
Chuquisaca,Oropeza,Poroma,Hua�oma
Chuquisaca,Oropeza,Poroma,Pojpo
Chuquisaca,Oropeza,Poroma,Copavillque
Chuquisaca,Oropeza,Poroma,Sapse
Chuquisaca,Oropeza,Poroma,Luje
Chuquisaca,Oropeza,Poroma,Piocera
Chuquisaca,Oropeza,Poroma,El Ajial
Chuquisaca,Oropeza,Poroma,Challcha
Chuquisaca,Oropeza,Poroma,Alamos(Zanabria)
Chuquisaca,Oropeza,Poroma,San Juan de Orcas
Chuquisaca,Oropeza,Poroma,Sijcha Alta
Chuquisaca,Oropeza,Poroma,Iru Kkota
Chuquisaca,Oropeza,Poroma,Chijmuri
Chuquisaca,Oropeza,Poroma,Kaynacas
Chuquisaca,Oropeza,Poroma,Uruguayo
Chuquisaca,Oropeza,Poroma,Pangorasi
Chuquisaca,Oropeza,Poroma,Palajla
Chuquisaca,Oropeza,Poroma,Sanabria
Chuquisaca,Oropeza,Poroma,Cucuri
Chuquisaca,Oropeza,Poroma,Calizaya
Chuquisaca,Oropeza,Poroma,Yanani
Chuquisaca,Oropeza,Poroma,Viru Viru
Chuquisaca,Oropeza,Poroma,Pomanasa
Chuquisaca,Azurduy,Azurduy,Azurduy
Chuquisaca,Azurduy,Azurduy,Torrecillas
Cochabamba,Cercado,Cochabamba,Cochabamba
La Paz,Aroma,Ayo Ayo,Santa Rosa de Lima Pomani
La Paz,Aroma,Ayo Ayo,Collana Tolar
La Paz,Aroma,Ayo Ayo,Tupac Katari
La Paz,Aroma,Ayo Ayo,Alto Pomani
La Paz,Aroma,Calamarca,Calamarca
La Paz,Aroma,Calamarca,Sucanavi
La Paz,Aroma,Calamarca,Ajoya
La Paz,Aroma,Calamarca,Sivicani
La Paz,Aroma,Calamarca,Totorani (Aroma)
La Paz,Aroma,Calamarca,San Antonio de Senkata
La Paz,Aroma,Calamarca,Cosmini
La Paz,Aroma,Calamarca,V. Carmen de Caluyo
La Paz,Aroma,Calamarca,Choritotora
La Paz,Aroma,Calamarca,Vilaque Copata
La Paz,Aroma,Calamarca,Huayhuasi
La Paz,Aroma,Calamarca,Chocorosi
La Paz,Aroma,Calamarca,Ca�uma
La Paz,Aroma,Patacamaya,Patacamaya
La Paz,Aroma,Patacamaya,Chiarumani
La Paz,Aroma,Patacamaya,Muruchapi
La Paz,Aroma,Patacamaya,Colchani
La Paz,Aroma,Patacamaya,Sasari
La Paz,Aroma,Patacamaya,Viscachani
La Paz,Aroma,Patacamaya,Iquiaca de Umala
La Paz,Aroma,Patacamaya,Culta Arejllanga
La Paz,Aroma,Patacamaya,Ex Hacienda Taypillanga
La Paz,Aroma,Patacamaya,Pusuta
La Paz,Aroma,Patacamaya,Chacoma
La Paz,Aroma,Patacamaya,Chiaraque
La Paz,Aroma,Patacamaya,San Mart�n de Iquiaca
La Paz,Aroma,Patacamaya,Villa Concepcción de Bel�n
La Paz,Aroma,Patacamaya,Villa Patarani
La Paz,Aroma,Patacamaya,Cauchi-Titiri
La Paz,Aroma,Colquencha,Colquencha
La Paz,Aroma,Colquencha,Micaya
La Paz,Aroma,Colquencha,Marquirivi
La Paz,Aroma,Colquencha,Nueva Esperanza de Machacamarca
La Paz,Aroma,Collana,Collana (Aroma)
La Paz,Aroma,Collana,Uncallamaya
La Paz,Aroma,Collana,Hichuraya Chico
La Paz,Nor Yungas,Coroico,Coroico
La Paz,Nor Yungas,Coroico,Yolosa
La Paz,Nor Yungas,Coroico,Cruz Loma
La Paz,Nor Yungas,Coroico,Challajahuira
La Paz,Nor Yungas,Coroico,Mururata
La Paz,Nor Yungas,Coroico,Sta. Rosa de Quilo Quilo
La Paz,Nor Yungas,Coroico,Suapi
La Paz,Nor Yungas,Coroico,Pacollo
La Paz,Nor Yungas,Coroico,Unduavi
La Paz,Nor Yungas,Coroico,Puente Armas
La Paz,Nor Yungas,Coripata,Coripata
La Paz,Nor Yungas,Coripata,San Juan de Coripata
La Paz,Nor Yungas,Coripata,Arapata
La Paz,Nor Yungas,Coripata,Santiago Tocoroni
La Paz,Nor Yungas,Coripata,Trinidad Pampa
La Paz,Nor Yungas,Coripata,Milluhuaya
La Paz,Abel Iturralde,Ixiamas,Ixiamas
La Paz,Abel Iturralde,Ixiamas,Tahua
La Paz,Abel Iturralde,Ixiamas,Esperanza del Madidi
La Paz,Abel Iturralde,Ixiamas,Carmen del Emero
La Paz,Abel Iturralde,Ixiamas,Puerto P�rez (Iturralde)
La Paz,Abel Iturralde,Ixiamas,Nueva Idiama
La Paz,Abel Iturralde,Ixiamas,El Tigre
La Paz,Abel Iturralde,Ixiamas,El Tigre (R�o Madre de Dios)
La Paz,Abel Iturralde,Ixiamas,Macahua
La Paz,Abel Iturralde,Ixiamas,Villa F�tima
La Paz,Abel Iturralde,Ixiamas,Puerto Araona
La Paz,Abel Iturralde,San Buenaventura,San Buenaventura
La Paz,Murillo,El Alto,El Alto
La Paz,Murillo,Nuestra Se�ora de La Paz,Hampaturi
La Paz,Murillo,Nuestra Se�ora de La Paz,Islani Bajo
La Paz,Murillo,Nuestra Se�ora de La Paz,Ca�aviri
La Paz,Murillo,Nuestra Se�ora de La Paz,Chucura
La Paz,Murillo,Nuestra Se�ora de La Paz,Choro
La Paz,Murillo,Nuestra Se�ora de La Paz,Huaylipaya
La Paz,Murillo,Palca,Palca
La Paz,Murillo,Palca,Unni
La Paz,Murillo,Palca,Cohoni
La Paz,Murillo,Palca,Quillihuaya
La Paz,Murillo,Palca,Cayimbaya
La Paz,Murillo,Palca,Cota�a.
La Paz,Murillo,Palca,Tahuapalca
La Paz,Murillo,Palca,Tirata
La Paz,Murillo,Mecapaca,Santiago de Collana.
La Paz,Murillo,Mecapaca,Mecapaca
La Paz,Murillo,Mecapaca,Huajchilla
La Paz,Murillo,Mecapaca,Palomar
La Paz,Murillo,Mecapaca,Huaricana
La Paz,Murillo,Mecapaca,Chanca
La Paz,Murillo,Mecapaca,Jankosuni
La Paz,Murillo,Mecapaca,Caracarani
La Paz,Murillo,Mecapaca,Lluto
La Paz,Murillo,Mecapaca,Millucato
La Paz,Murillo,Mecapaca,Kera
La Paz,Murillo,Achocalla,Pucarani(Achocalla)
La Paz,Murillo,Achocalla,Pacajes
La Paz,Murillo,Achocalla,Villa Concepcción (Uypaca)
La Paz,Murillo,Achocalla,Asunta Quillviri
La Paz,Murillo,Achocalla,Cha�ocahua
La Paz,Murillo,Achocalla,Marquirivi (Murillo)
La Paz,Murillo,Achocalla,Cututu
La Paz,Murillo,Achocalla,Tuni
La Paz,Pacajes,Caquiaviri,Laura Llocolloco
La Paz,Pacajes,Caquiaviri,Tincachi
La Paz,Pacajes,Caquiaviri,Villa Anta
La Paz,Pacajes,Caquiaviri,Calla Llallagua
La Paz,Pacajes,Caquiaviri,Kasillunca
La Paz,Pacajes,Calacoto,Calacoto
La Paz,Pacajes,Calacoto,General Campero
La Paz,Pacajes,Calacoto,Rosario
La Paz,Pacajes,Calacoto,General Camacho
La Paz,Pacajes,Calacoto,Challuyo
La Paz,Pacajes,Calacoto,Audiencia
La Paz,Pacajes,Calacoto,Playa Verde
La Paz,Pacajes,Calacoto,Villa Condor Iqui�a
La Paz,Pacajes,Calacoto,Ulloma
La Paz,Pacajes,Calacoto,Lerco
La Paz,Pacajes,Calacoto,Max Toledo
La Paz,Pacajes,Calacoto,Laguna Blanca
La Paz,Pacajes,Calacoto,Okururo
La Paz,Pacajes,Calacoto,Huariscata
La Paz,Pacajes,Calacoto,Agua Rica
La Paz,Pacajes,Calacoto,Achavico
La Paz,Pacajes,Calacoto,Playa Vinto
La Paz,Pacajes,Comanche,Comanche
La Paz,Pacajes,Comanche,Kella Kella
La Paz,Pacajes,Comanche,Gral. Ballivian
La Paz,Pacajes,Comanche,Tocopilla Cantuyo
La Paz,Pacajes,Comanche,Rosas Pata Tuli
La Paz,Pacajes,Chara�a,Chara�a
La Paz,Pacajes,Chara�a,Eduardo Avaroa
La Paz,Pacajes,Chara�a,General Perez
La Paz,Pacajes,Chara�a,Ladislao Cabrera
La Paz,Pacajes,Chara�a,Chinocavi
La Paz,Pacajes,Chara�a,R�o Blanco
La Paz,Pacajes,Chara�a,Pi�uta
La Paz,Pacajes,Waldo Ballivian,Waldo Ballivian(Tumarapi)
La Paz,Pacajes,Nazacara de Pacajes,Nazacara
La Paz,Pacajes,Santiago de Callapa,Guana Grande
La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa
La Paz,Pacajes,Santiago de Callapa,Canuhuta
La Paz,Pacajes,Santiago de Callapa,Calteca
La Paz,Pacajes,Santiago de Callapa,San Francisco de Yaribay
La Paz,Pacajes,Santiago de Callapa,Romero Pampa
La Paz,Pacajes,Santiago de Callapa,Poquevillque
La Paz,Pacajes,Santiago de Callapa,Villa Puchuni
La Paz,Pacajes,Santiago de Callapa,Cumaravi
